"genus_id","scientific_name","character_id","character","state","confidence","in_matrix","source","source_url","evidence"
"leptanilla","Leptanilla","gen-7","Mandibular dentition","1","medium","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","revelierii group ""Mandible with 3–4 teeth""; L. poggii (Italy: Pantellaria) keys as four teeth; state ""3"" not offered so 4-tooth state chosen"
"leptanilla","Leptanilla","gen-8","Palp formula (Myrmicinae)","2","high","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","genus ""Maxillary palp 1- to 2-merous ... Labial palp 1-merous""; revelierii group ""Maxillary palpomere 1-merous"" -> palp formula 1,1"
"leptanilla","Leptanilla","gen-9","Lateral portions of the clypeus","0","medium","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","revelierii group ""Lateral clypeal teeth absent""; subfamily ""Antennal sockets dorsal, fully exposed"" — no clypeal ridge before insertions"
"leptanilla","Leptanilla","gen-14","Petiole and postpetiole shape","0","low","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","subfamily ""Petiole sessile, rarely subsessile""; no cubical node or basal spongy ""skirt"" described anywhere in the revision — rounded/sessile node"
"leptanilla","Leptanilla","gen-17","Postpetiole","0","medium","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","genus worker diagnosis: ""Abdominal segment III narrowly joined to abdominal segment IV"" — postpetiole meets anterior face of gaster, not superior face"
"leptanilla","Leptanilla","gen-18","Gaster shape","0","low","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","Leptanilla gaster elongate/subcylindrical (tergites IV–VII described serially); cordiform (heart-shaped) state is the Crematogaster autapomorphy, absent here"
"leptanilla","Leptanilla","gen-19","Sting","0","low","yes","Griebenow 2024, Systematic revision of the ant subfamily Leptanillinae (ZooKeys 1189: 83–184)","https://doi.org/10.3897/zookeys.1189.107506","subfamily worker diagnosis: ""Sting present"" (simple, functional); the triangular apicodorsal sting appendage is the Crematogaster (Myrmicinae) condition, not present in Leptanilla"
"stigmatomma","Stigmatomma","gen-1","Erect setae on the mesosoma","1","high","yes","Hsu et al. 2017, ZooKeys 705 — Stigmatomma luyiae worker description","https://doi.org/10.3897/zookeys.705.10296","Worker description: 'Mesosoma covered with erect to subdecumbent pilosity' — erect setae present."
"stigmatomma","Stigmatomma","gen-2","Head shape","1","high","yes","Hsu et al. 2017, ZooKeys 705 — Stigmatomma luyiae worker description","https://doi.org/10.3897/zookeys.705.10296","Worker description: 'Dorsal face of the head quadrate (CI: 100)' — head square, not triangular."
"stigmatomma","Stigmatomma","gen-4","Segments of the antennal club","0","medium","yes","Yoshimura & Fisher 2016, Biodiversity Data Journal 4:e8032 — Stigmatomma worker genus diagnosis","https://doi.org/10.3897/BDJ.4.e8032","Diagnosis 'Number of antennomeres: 10-12' with 'pilosity similar present on all antennomeres'; antenna gradually incrassate, no distinct club described."
"stigmatomma","Stigmatomma","gen-8","Palp formula (Myrmicinae)","2;3","high","yes","Borowiec & Salata 2022, A monographic review of ants of Greece Vol 1","https://www.antwiki.org/wiki/Stigmatomma","Key: S. impressifrons ""Palpal formula 5:3""; S. denticulatum ""Palpal formula 4:3"" (Borowiec & Salata 2022) -> genus states 5,3 + 4,3"
"stigmatomma","Stigmatomma","gen-9","Lateral portions of the clypeus","0","medium","yes","Hsu et al. 2017, ZooKeys 705 — Stigmatomma luyiae worker description","https://doi.org/10.3897/zookeys.705.10296","'median area of the clypeus extending posteriorly as a narrow longitudinal strip between the antennal sockets'; no lateral clypeal ridge before insertions."
"stigmatomma","Stigmatomma","gen-10","Mesosoma profile","0","low","yes","Yoshimura & Fisher 2016, Biodiversity Data Journal 4:e8032 — Stigmatomma worker genus diagnosis","https://doi.org/10.3897/BDJ.4.e8032","Inferred: mesosomal dorsum low and even in Stigmatomma workers; no raised/domed promesonotum stepping above propodeum. No explicit level statement in accessed text."
"stigmatomma","Stigmatomma","gen-11","Lateral sides of the pronotum","1","low","yes","Yoshimura & Fisher 2016, Biodiversity Data Journal 4:e8032 — Stigmatomma worker genus diagnosis","https://doi.org/10.3897/BDJ.4.e8032","Inferred: pronotum unarmed with rounded humeri (no pronotal angles/teeth) in the genus; no explicit dorsal-outline statement in accessed worker descriptions."
"stigmatomma","Stigmatomma","gen-14","Petiole and postpetiole shape","0","low","yes","Yoshimura & Fisher 2016, Biodiversity Data Journal 4:e8032 — Stigmatomma worker genus diagnosis","https://doi.org/10.3897/BDJ.4.e8032","Worker diagnosis: 'Petiole (abdominal segment II) sessile'; single broad low node, no cubical form and no spongy basal skirt."
"stigmatomma","Stigmatomma","gen-18","Gaster shape","0","medium","yes","Hsu et al. 2017, ZooKeys 705 — Stigmatomma luyiae worker description","https://doi.org/10.3897/zookeys.705.10296","Gaster = abdominal segments III-VII, elongate/subcylindrical ('Gaster imbricate; mostly covered with suberect pilosity'); not cordiform (no dorsally-inserted postpetiole)."
"proceratium","Proceratium","gen-1","Erect setae on the mesosoma","1","high","yes","Staab, Xu & Hita Garcia 2018, ZooKeys 770 — Proceratium of China, worker description (P. bruelheidei, itoi clade)","https://doi.org/10.3897/zookeys.770.24908","Worker: 'dorsal surfaces of body with abundant significantly longer suberect and erect hairs'; genus 'extremely hairy'."
"proceratium","Proceratium","gen-2","Head shape","1","high","yes","Staab, Xu & Hita Garcia 2018, ZooKeys 770 — Proceratium of China, worker description (P. bruelheidei, itoi clade)","https://doi.org/10.3897/zookeys.770.24908","Worker: 'head slightly longer than broad' — subrectangular, not triangular (genus-invariant)."
"proceratium","Proceratium","gen-9","Lateral portions of the clypeus","0","low","yes","Staab, Xu & Hita Garcia 2018, ZooKeys 770 — Proceratium of China, worker description (P. bruelheidei, itoi clade)","https://doi.org/10.3897/zookeys.770.24908","Worker: 'Clypeus reduced and narrow, with a broadly triangular median anterior projection' — lateral clypeus not raised as a ridge."
"proceratium","Proceratium","gen-10","Mesosoma profile","0","low","yes","Staab, Xu & Hita Garcia 2018, ZooKeys 770 — Proceratium of China, worker description (P. bruelheidei, itoi clade)","https://doi.org/10.3897/zookeys.770.24908","Worker: 'Mesosoma in profile slightly convex' — near-continuous dorsal arch, promesonotum about level with propodeum."
"proceratium","Proceratium","gen-14","Petiole and postpetiole shape","0","medium","yes","Staab, Xu & Hita Garcia 2018, ZooKeys 770 — Proceratium of China, worker description (P. bruelheidei, itoi clade)","https://doi.org/10.3897/zookeys.770.24908","Worker: 'Petiolar node in profile high, nodiform' — not cubical, no spongy basal skirt (genus-wide)."
"proceratium","Proceratium","gen-16","Postpetiole, dorsal view","0","medium","yes","Staab, Xu & Hita Garcia 2018, ZooKeys 770 — Proceratium of China, worker description (P. bruelheidei, itoi clade)","https://doi.org/10.3897/zookeys.770.24908","Worker: 'abdominal segment III [postpetiole] anteriorly much broader than petiole' (genus-typical enlarged postpetiole)."
